#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0400.211.01.333.10 2016,,869,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,,650.98,,650.98,,650.98,,,
1 0400.211.01.333.20 2017,,233,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,14000.0,14000.0,,12561.57,1438.43,12561.57,8696.67,8696.67,8696.67
1 0400.211.01.920.40 2017,,436,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,104214.65,104214.65,,75782.36,28432.29,75782.36,42394.16,41078.6,39226.77
1 0400.211.01.920.40 2016,,870,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,,46675.76,,46675.76,,46675.76,44606.02,44606.02,44606.02
1 0400.212.01.134.00 2017,,28,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,441502.7,441502.7,,453888.97,-12386.27,453888.97,177874.33,175971.48,175971.48
1 0400.212.01.134.00 2016,,871,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,,56549.45,,56549.45,,56549.45,37161.91,37161.91,37161.91
1 0400.212.01.163.00 2017,,77,MAKINERIA/INSTALAZ/TRESNERIA,3000.0,3000.0,,82.69,2917.31,82.69,82.69,82.69,82.69
1 0400.212.01.164.00 2017,,85,MAKIN/INSTALAZ/TRESNERIA.MANTENIM.,17917.18,17917.18,,5253.97,12663.21,5253.97,3578.25,3578.25,3578.25
1 0400.212.01.165.00 2017,,96,MAKINERIA/INSTALAZ/TRESNERIA,77081.22,77081.22,,8350.92,68730.3,8350.92,5932.01,5932.01,5932.01
1 0400.212.01.171.00 2017,,106,MAKINERIA/INSTALAZ/TRESNERIA,7500.0,7500.0,,2263.82,5236.18,2263.82,2263.82,2263.82,2263.82
1 0400.212.01.323.00 2017,,192,"MAKINERIA, INSTALAZIOAK ETA TRESNERIA",20000.0,20000.0,,12870.87,7129.13,12870.87,7506.85,7506.85,7346.27
1 0400.212.01.323.00 2016,,873,"MAKINERIA, INSTALAZIOAK ETA TRESNERIA",,242.0,,242.0,,242.0,242.0,242.0,242.0
1 0400.212.01.333.10 2017,,787,"MAKINERIA, INSTALAZIOAK ETA TRESNERIA",5000.0,5000.0,,5446.13,-446.13,5446.13,3766.04,3766.04,3605.46
1 0400.212.01.333.20 2017,,993,"MAKINERIA, INSTALAZIOAK ETA TRESNERIA",13500.0,13500.0,,,13500.0,,,,
1 0400.212.01.920.40 2017,,437,"MAKINERIA,INSTALAZIOAK ETA TRESNERIA",45500.0,45500.0,,18551.17,26948.83,18551.17,11052.9,11052.9,11046.95
1 0400.212.01.920.40 2016,,874,"MAKINERIA,INSTALAZIOAK ETA TRESNERIA",,6474.77,,6474.77,,6474.77,6465.94,6465.94,6465.94
1 0400.213.01.153.40 2017,,68,GARRAIO-MATERIALA. MANTENIMENDUA,17510.0,17510.0,,14485.5,3024.5,14485.5,13898.8,13747.8,12264.37
1 0400.221.01.134.00 2017,,29,ENERGIA ELEKTRIKOA,80000.0,80000.0,,47902.55,32097.45,47902.55,47902.55,52862.18,47902.55
1 0400.221.01.165.00 2017,,97,ENERGIA ELEKTRIKOA,300000.0,300000.0,,178171.39,121828.61,178171.39,178171.39,187702.65,177882.09
1 0400.221.01.323.00 2017,,193,ENERGIA ELEKTRIKOA,100000.0,100000.0,,59388.84,40611.16,59388.84,59388.84,63738.81,59388.84
1 0400.221.01.333.10 2017,,228,ENERGIA ELEKTRIKOA,21200.0,21200.0,,10997.88,10202.12,10997.88,10997.88,11725.79,10997.88
1 0400.221.01.333.20 2017,,234,ENERGIA ELEKTRIKOA,52000.0,52000.0,,31300.36,20699.64,31300.36,31300.36,32043.69,29117.11
1 0400.221.01.920.40 2017,,438,ENERGIA ELEKTRIKOA,75000.0,75000.0,,44305.9,30694.1,44305.9,44305.9,50014.89,44218.68
1 0400.221.01.920.40 2016,,876,ENERGIA ELEKTRIKOA,,208.37,,208.37,,208.37,208.37,208.37,208.37
1 0400.221.02.920.40 2017,,439,URA,85000.0,85000.0,,50043.2,34956.8,50043.2,50043.2,50043.2,50043.2
1 0400.221.04.153.40 2017,,69,ERREGAI ETA KARBURANTEAK,22000.0,22000.0,,19572.17,2427.83,19572.17,10390.63,10390.63,10390.63
1 0400.221.04.163.00 2017,,78,ERREGAI ETA KARBURANTEAK,4000.0,4000.0,,3558.42,441.58,3558.42,499.47,499.47,499.47
1 0400.221.04.323.00 2017,,194,ERREGAI ETA KARBURANTEAK,95000.0,95000.0,,60174.3,34825.7,36408.08,36408.08,36408.08,36182.36
1 0400.221.04.323.00 2016,,877,ERREGAI ETA KARBURANTEAK,,20000.0,,14997.64,5002.36,14997.64,14997.64,14997.64,14997.64
1 0400.221.04.333.10 2017,,229,ERREGAI ETA KARBURANTEAK,15000.0,15000.0,,8753.13,6246.87,8753.13,8753.13,8753.13,8753.13
