#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Erabilgarria,Baimendua ,Erabilia ,Onart. Oblig.
1 0400.121.99.165.00 2025 (92),,,BESTE OSAGARRI BATZUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.130.03.153.40 2025 (63),,,ORDAINKETAK PERTSONAL LABORAL ,369478.25,369478.25,0.0,198410.61,171067.64,171067.64,171067.64
1 0400.130.03.164.00 2025 (2892),,,ORDAINKETAK PERTSONAL LABORAL ,0.0,0.0,0.0,-15521.94,15521.94,15521.94,15521.94
1 0400.130.03.165.00 2025 (580),,,ORDAINK.PERTSONAL LABORAL ,47580.24,47580.24,0.0,6280.39,41299.85,41299.85,41299.85
1 0400.130.03.171.00 2025 (102),,,ORDAINKETAK PERTSONAL LABORAL ,39737.87,39737.87,0.0,-59721.09,99458.96,99458.96,99458.96
1 0400.130.03.323.00 2025 (188),,,ORDAINKETAK PERTSONAL LABORAL ,34125.79,34125.79,0.0,2823.89,31301.9,31301.9,31301.9
1 0400.130.03.920.40 2025 (433),,,ORDAINKETAK PERTSONAL LABORAL ,50607.58,50607.58,0.0,24145.37,26462.21,26462.21,26462.21
1 0400.131.01.153.40 2025 (64),,,LABORAL EBENTUALA,505452.85,505452.85,0.0,257912.71,247540.14,247540.14,247540.14
1 0400.131.01.164.00 2025 (82),,,LABORAL EBENTUALA,133172.1,133172.1,0.0,94517.68,38654.42,38654.42,38654.42
1 0400.131.01.165.00 2025 (1541),,,LABORAL EBENTUALA,92846.76,92846.76,0.0,68552.65,24294.11,24294.11,24294.11
1 0400.131.01.171.00 2025 (103),,,LABORAL EBENTUALA,241752.11,241752.11,0.0,207187.45,34564.66,34564.66,34564.66
1 0400.131.01.323.00 2025 (643),,,LABORAL EBENTUALA,121161.54,121161.54,0.0,74644.9,46516.64,46516.64,46516.64
1 0400.131.01.920.40 2025 (811),,,LABORAL EBENTUALA,208991.73,208991.73,0.0,128664.12,80327.61,80327.61,80327.61
1 0400.160.01.153.40 2025 (65),,,GIZARTE SEGURANTZA,450527.76,450527.76,0.0,335975.94,114551.82,114551.82,114551.82
1 0400.160.01.164.00 2025 (83),,,GIZARTE SEGURANTZA,47038.46,47038.46,0.0,40996.92,6041.54,6041.54,6041.54
1 0400.160.01.165.00 2025 (94),,,GIZARTE SEGURANTZA,59763.71,59763.71,0.0,36404.4,23359.31,23359.31,23359.31
1 0400.160.01.171.00 2025 (104),,,GIZARTE SEGURANTZA,98974.3,98974.3,0.0,54793.16,44181.14,44181.14,44181.14
1 0400.160.01.323.00 2025 (189),,,GIZARTE SEGURANTZA,55180.88,55180.88,0.0,29815.57,25365.31,25365.31,25365.31
1 0400.160.01.920.40 2025 (434),,,GIZARTE SEGURANTZA,86039.53,86039.53,0.0,53362.65,32676.88,32676.88,32676.88
1 0400.160.04.153.40 2025 (66),,,ELKARKIDETZAREN KUOTAK,24114.15,24114.15,0.0,17139.87,6974.28,6974.28,6974.28
1 0400.160.04.164.00 2025 (84),,,ELKARKIDETZAREN KUOTAK,5539.04,5539.04,0.0,4980.3,558.74,558.74,558.74
