#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0400.211.01.323.00 2021,,2134.0,ERAIKIN/BESTEL.ERAIK.MANTENIMEND.,0.0,40286.36,0.0,-901.45,41187.81,-901.45,18474.34,17835.46,17835.46
1 0400.211.01.333.10 2022,,226.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,60000.0,60000.0,0.0,12694.04,47305.96,12694.04,2834.7,2488.35,2488.35
1 0400.211.01.333.10 2021,,2135.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,2154.03,0.0,0.0,2154.03,0.0,1014.83,1014.83,1014.83
1 0400.211.01.333.20 2022,,233.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,60000.0,60000.0,0.0,6667.11,53332.89,6667.11,5926.32,5926.32,5926.32
1 0400.211.01.333.20 2021,,2137.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,4206.86,0.0,-21.21,4228.07,-21.21,0.0,0.0,0.0
1 0400.211.01.333.20 2020,,2136.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,7308.67,0.0,0.0,7308.67,0.0,0.0,0.0,0.0
1 0400.211.01.334.50 2022,,1751.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,83645.72,83645.72,0.0,13588.96,70056.76,13588.96,7667.0,7284.93,6916.91
1 0400.211.01.334.50 2021,,2138.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,2291.56,0.0,-101.06,2392.62,-101.06,0.0,0.0,0.0
1 0400.211.01.920.40 2022,,436.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,179981.61,179981.61,0.0,71769.11,108212.5,71769.11,54739.27,53852.46,52540.22
1 0400.211.01.920.40 2021,,2139.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,4977.55,0.0,0.0,4977.55,0.0,1330.94,1330.94,1330.94
1 0400.212.01.134.00 2022,,28.0,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,500824.88,500824.88,0.0,424186.66,76638.22,424186.66,127157.52,123990.54,87126.34
1 0400.212.01.134.00 2021,,2140.0,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,0.0,43840.31,0.0,0.0,43840.31,0.0,31014.52,31014.52,31014.52
