#Partida,b,c,Descripción,Pto inicial,Pto definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Oblig. recon.
1 0400.202.01.153.40 2025 (3178),,,ALKILERRAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.210.01.153.40 2025 (67),,,INFRAESTRUCTURA Y BIENES ,190000.0,175000.0,1258.47,149427.47,24314.06,149427.47,87344.01
1 0400.210.01.164.00 2025 (2942),,,INFRAESTRUCTURA Y BIENES ,0.0,0.0,0.0,330.61,-330.61,330.61,330.61
1 0400.210.01.454.00 2025 (367),,,INFRAESTRUCTURA Y BIENES ,73500.0,73500.0,0.0,34419.23,39080.77,34419.23,2292.95
1 0400.211.01.231.50 2025 (2407),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0
1 0400.211.01.231.90 2025 (1776),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,50000.0,50000.0,0.0,325.07,49674.93,325.07,325.07
1 0400.211.01.323.00 2025 (191),,,EDIFIC/OTRAS CONSTRUCCIONES. ,144249.0,136749.0,0.0,50102.69,86646.31,50102.69,32691.75
1 0400.211.01.333.10 2025 (226),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,50000.0,50000.0,0.0,5337.54,44662.46,5337.54,3337.54
1 0400.211.01.333.20 2025 (233),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,25000.0,25000.0,0.0,7144.88,17855.12,7144.88,3746.86
1 0400.211.01.334.50 2025 (1751),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,25000.0,25000.0,0.0,18360.46,6639.54,18360.46,7751.22
1 0400.211.01.920.40 2025 (436),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,89775.18,89775.18,0.0,73600.95,16174.23,73600.95,35404.25
1 0400.212.01.134.00 2025 (28),,,MAQUINARIA/INSTALAC/UTILLAJE. ,549105.29,503315.68,0.0,469163.96,34151.72,469163.96,155285.04
1 0400.212.01.153.40 2025 (3174),,,"MAQUINARIA, INSTALACIONES Y ",0.0,0.0,839.66,767.06,-1606.72,767.06,0.0
1 0400.212.01.163.00 2025 (77),,,MAQUINARIA/INSTALAC/UTILLAJE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.212.01.164.00 2025 (85),,,MAQUIN/INSTAL/UTILLAJE.MANTTO,9200.0,9200.0,0.0,1644.39,7555.61,1644.39,301.81
1 0400.212.01.165.00 2025 (96),,,MAQUIN/INSTALAC/UTILLAJE.MANTTO,90000.0,90000.0,0.0,59796.83,30203.17,59796.83,55661.88
1 0400.212.01.171.00 2025 (106),,,MAQUINARIA/INSTALAC/UTILLAJE,8500.0,8500.0,0.0,10890.0,-2390.0,10890.0,2718.03
1 0400.212.01.231.50 2025 (2408),,,"MAQUINARIA,INSTALACIONES Y ",8180.0,8180.0,78.27,9485.89,-1384.16,9485.89,2209.62
1 0400.212.01.323.00 2025 (192),,,"MAQUINARIA, INSTALACIONES Y ",68473.64,68473.64,0.0,70149.83,-1676.19,70149.83,37752.21
1 0400.212.01.333.10 2025 (787),,,"MAQUINARIA, INSTALACIONES Y ",13280.0,13280.0,488.33,17974.37,-5182.7,17974.37,8539.93
1 0400.212.01.333.20 2025 (993),,,"MAQUINARIA, INSTALACIONES Y ",24975.0,24975.0,450.77,30423.69,-5899.46,30423.69,20101.07
1 0400.212.01.334.50 2025 (1752),,,"MAQUINARIA, INSTALACIONES Y ",46600.0,46600.0,900.0,28655.74,17044.26,28655.74,7122.27
1 0400.212.01.920.40 2025 (437),,,"MAQUINARIA, INSTALACIONES Y ",62505.0,62505.0,767.06,48099.45,13638.49,48099.45,21736.9
1 0400.213.01.153.40 2025 (68),,,MATERIAL DE TRANSPORTE. ,25000.0,25000.0,0.0,22014.01,2985.99,22014.01,12666.19
1 0400.215.02.920.40 2025 (2448),,,MTTO. DE APLICACIONES ,15000.0,15000.0,0.0,0.0,15000.0,0.0,0.0
1 0400.221.01.134.00 2025 (29),,,ENERGIA ELECTRICA,130000.0,130000.0,0.0,130000.0,0.0,130000.0,46764.51
1 0400.221.01.165.00 2025 (97),,,ENERGIA ELECTRICA,450000.0,450000.0,0.0,421634.0,28366.0,421634.0,141372.98
1 0400.221.01.231.50 2025 (2409),,,ENERGIA ELECTRICA,10000.0,10000.0,0.0,10000.0,0.0,10000.0,3449.08
1 0400.221.01.323.00 2025 (193),,,ENERGIA ELECTRICA,182218.0,182218.0,0.0,191402.77,-9184.77,191402.77,55978.86
1 0400.221.01.333.10 2025 (228),,,ENERGIA ELECTRICA,31212.0,31212.0,0.0,31212.0,0.0,31212.0,6482.85
1 0400.221.01.333.20 2025 (234),,,ENERGIA ELECTRICA,64000.0,64000.0,0.0,64000.0,0.0,64000.0,32365.56
1 0400.221.01.334.50 2025 (1753),,,ENERGIA ELECTRICA.,58500.0,58500.0,0.0,58500.0,0.0,58500.0,22772.92
1 0400.221.01.920.40 2025 (438),,,ENERGIA ELECTRICA,150000.0,150000.0,0.0,150080.17,-80.17,150080.17,56275.29
1 0400.221.02.920.40 2025 (439),,,AGUA,78000.0,78000.0,0.0,25868.76,52131.24,25868.76,25868.76
1 0400.221.04.153.40 2025 (69),,,COMBUSTIBLES Y CARBURANTES ,28000.0,28000.0,0.0,31566.49,-3566.49,31566.49,5776.47
1 0400.221.04.163.00 2025 (78),,,COMBUSTIBLES Y CARBURANTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.04.323.00 2025 (194),,,COMBUSTIBLES Y CARBURANTES,205000.0,205000.0,0.0,102100.0,102900.0,102100.0,44527.41
1 0400.221.04.333.10 2025 (229),,,COMBUSTIBLES Y CARBURANTES,27181.0,27181.0,0.0,12000.0,15181.0,12000.0,9311.3
1 0400.221.04.333.20 2025 (235),,,COMBUSTIBLES Y CARBURANTES,43000.0,43000.0,0.0,30000.0,13000.0,30000.0,17694.37
1 0400.221.04.920.40 2025 (440),,,COMBUSTIBLES Y CARBURANTES,54500.0,54500.0,0.0,32453.75,22046.25,32453.75,17179.68
1 0400.221.05.153.40 2025 (70),,,VESTUARIO,27000.0,27000.0,0.0,5864.47,21135.53,5864.47,3721.64
1 0400.221.05.164.00 2025 (86),,,VESTUARIO,1500.0,1500.0,0.0,1452.0,48.0,1452.0,366.99
