#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Baimendua ,Erabilgarria,Erabilia ,Onart. Oblig.
1 0400.160.01.171.00 2024 (104),,,GIZARTE SEGURANTZA,83035.56,83035.56,0.0,78680.48,4355.08,78680.48,78680.48
1 0400.160.01.323.00 2024 (189),,,GIZARTE SEGURANTZA,55698.14,55698.14,0.0,46261.91,9436.23,46261.91,46261.91
1 0400.160.01.920.40 2024 (434),,,GIZARTE SEGURANTZA,30641.47,30641.47,0.0,63095.69,-32454.22,63095.69,63095.69
1 0400.160.04.153.40 2024 (66),,,ELKARKIDETZAREN KUOTAK,18953.69,18953.69,0.0,16864.95,2088.74,16864.95,16864.95
1 0400.160.04.164.00 2024 (84),,,ELKARKIDETZAREN KUOTAK,1091.24,1091.24,0.0,1085.98,5.26,1085.98,1085.98
1 0400.160.04.165.00 2024 (95),,,ELKARKIDETZAREN KUOTAK,1169.19,1169.19,0.0,1473.83,-304.64,1473.83,1473.83
1 0400.160.04.171.00 2024 (105),,,ELKARKIDETZAREN KUOTAK,2182.48,2182.48,0.0,2171.96,10.52,2171.96,2171.96
1 0400.160.04.323.00 2024 (190),,,ELKARKIDETZAREN KUOTAK,3273.72,3273.72,0.0,4343.92,-1070.2,4343.92,4343.92
1 0400.160.04.920.40 2024 (435),,,ELKARKIDETZAREN KUOTAK,2728.1,2728.1,0.0,2559.81,168.29,2559.81,2559.81
1 0400.210.01.153.40 2024 (67),,,AZPIEGITURA ETA ONDASUN ,190000.0,190000.0,0.0,158114.12,31885.88,158114.12,128576.27
1 0400.210.01.454.00 2024 (367),,,AZPIEGITURA ETA ONDASUN ,73500.0,73500.0,0.0,46322.29,27177.71,46322.29,32794.49
1 0400.211.01.231.50 2024 (2407),,,ERAIKINAK ETA BESTELAKO ,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0
1 0400.211.01.231.90 2024 (1776),,,ERAIKINAK ETA BESTELAKO ,60000.0,45300.0,0.0,2020.98,43279.02,2020.98,1696.18
