#Partida,,,Has.ko aurrek.,B. betiko aurrek.,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0300.120.01.153.20 2024,,OINARRIZKO ORDAINKETAK,185575.77,185575.77,30825.23,154750.54,30825.23,30825.23,30825.23,30825.23
1 0300.121.99.153.20 2024,,BESTE OSAGARRI BATZUK,256762.4,256762.4,63706.55,193055.85,63706.55,63706.55,63706.55,63706.55
1 0300.131.01.153.20 2024,,LABORAL EBENTUALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.160.01.153.20 2024,,GIZARTE SEGURANTZA,111053.74,111053.74,22537.16,88516.58,22537.16,22537.16,22537.16,22537.16
1 0300.160.04.153.20 2024,,ELKARKIDETZAREN KUOTAK,9924.78,9924.78,1700.94,8223.84,1700.94,1700.94,1700.94,1700.94
1 0300.211.01.153.20 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,41000.0,41000.0,0.0,41000.0,0.0,0.0,0.0,0.0
1 0300.230.01.153.20 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0300.601.06.153.20 2024,,E.J.TORREKUA JUBILATU ETXEA NEXT,281199.34,281199.34,0.0,281199.34,0.0,0.0,0.0,0.0
1 0300.601.06.153.20 2023,,E.J.TORREKUA JUBILATU ETXEA NEXT,0.0,0.0,1425800.66,-1425800.66,514.25,0.0,0.0,0.0
1 0300.601.07.153.20 2024,,ERREBAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.08.153.20 2024,,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,4070000.0,4070000.0,0.0,4070000.0,0.0,0.0,159194.18,120183.19
1 0300.601.08.153.20 2023,,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,0.0,0.0,23504.25,-23504.25,23504.25,0.0,0.0,0.0
1 0300.601.08.153.20 2022,,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,0.0,0.0,65452.15,-65452.15,36564.29,0.0,11161.06,11161.06
1 0300.601.08.454.00 2024,,MIRABASO IRIGARRITASUNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.14.153.20 2024,,LAN TXIKIAK,640000.0,640000.0,0.0,640000.0,0.0,0.0,0.0,0.0
1 0300.601.14.153.20 2023,,LAN TXIKIAK,0.0,0.0,251222.96,-251222.96,154454.3,0.0,90808.02,34983.77
1 0300.601.14.153.20 2022,,LAN TXIKIAK,0.0,0.0,169818.13,-169818.13,157145.46,0.0,64494.84,64494.84
1 0300.601.20.153.20 2024,,UDAL ERAIKUNTZETAN LANAK,410000.0,410000.0,0.0,410000.0,0.0,0.0,0.0,0.0
1 0300.601.20.153.20 2023,,UDAL ERAIKUNTZETAN LANAK,0.0,0.0,374300.57,-374300.57,374300.57,0.0,57717.38,57717.38
1 0300.601.21.323.00 2024,,LAN TXIKIAK ESKOLETAN,100000.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
1 0300.601.21.323.00 2023,,LAN TXIKIAK ESKOLETAN,0.0,0.0,44999.75,-44999.75,44999.75,0.0,4997.89,0.0
1 0300.601.23.153.20 2024,,ALFALTATZE-LANAK,100000.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0
1 0300.601.37.454.00 2024,,BASERRIETAKO AZPIEGITURA,365000.0,365000.0,0.0,365000.0,0.0,0.0,0.0,0.0
1 0300.601.37.454.00 2023,,BASERRIETAKO AZPIEGITURA,0.0,0.0,919.6,-919.6,919.6,0.0,689.7,689.7
1 0300.601.53.153.20 2024,,LEGARREKO APARKALEKUA EGOKITZEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.83.153.20 2024,,INSTALAZ. FOTOVOLTAIKOAK UDAK ERAIKINETA,130000.0,130000.0,0.0,130000.0,0.0,0.0,0.0,0.0
1 0300.625.01.153.20 2024,,ALTZARIAK,19000.0,19000.0,0.0,19000.0,0.0,0.0,0.0,0.0
1 0300.625.01.153.20 2023,,ALTZARIAK,0.0,0.0,5526.68,-5526.68,5526.68,0.0,0.0,0.0
1 0300.625.08.153.20 2024,,ELEKTRODOMESTIKOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.626.01.153.20 2024,,INFORMAZIO-PROZEZUETARAKO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.629.01.153.20 2024,,AUDIOBISUALAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.643.01.153.20 2024,,IKERKETA/AZTERKETA ETA PROIEKTUAK,186000.0,186000.0,0.0,186000.0,0.0,0.0,0.0,0.0
1 0300.643.01.153.20 2023,,IKERKETA/AZTERKETA ETA PROIEKTUAK,0.0,0.0,147271.2,-147271.2,147271.2,0.0,15851.0,15851.0
1 0300.714.02.153.20 2024,,TRENBIDEAREN TRAZATUA ESTALTZEA EIBARREN,366899.09,366899.09,0.0,366899.09,0.0,0.0,0.0,0.0
1 0300.780.06.153.20 2024,,E.J.GABILONDO ERAIKINEN NEXT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.780.06.153.20 2023,,E.J.GABILONDO ERAIKINEN NEXT,0.0,0.0,727841.0,-727841.0,67509.54,0.0,0.0,0.0
1 0400.120.01.153.40 2024,,OINARRIZKO ORDAINKETAK,112749.35,112749.35,15674.24,97075.11,15674.24,15674.24,15674.24,15674.24
1 0400.120.01.165.00 2024,,OINARRIZKO ORDAINKETAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.121.99.153.40 2024,,BESTE OSAGARRI BATZUK,170687.36,170687.36,36683.03,134004.33,36683.03,36683.03,36683.03,36683.03
1 0400.121.99.165.00 2024,,BESTE OSAGARRI BATZUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.130.03.153.40 2024,,ORDAINKETAK PERTSONAL LABORAL FINKOARI,385607.64,385607.64,94333.89,291273.75,94333.89,94333.89,94333.89,94333.89
1 0400.130.03.165.00 2024,,ORDAINK.PERTSONAL LABORAL FINKOARI,155244.11,155244.11,14591.86,140652.25,14591.86,14591.86,14591.86,14591.86
1 0400.130.03.171.00 2024,,ORDAINKETAK PERTSONAL LABORAL FINKOARI,38355.85,38355.85,26092.45,12263.4,26092.45,26092.45,26092.45,26092.45
1 0400.130.03.323.00 2024,,ORDAINKETAK PERTSONAL LABORAL FINKOARI,157454.4,157454.4,10345.85,147108.55,10345.85,10345.85,10345.85,10345.85
1 0400.130.03.920.40 2024,,ORDAINKETAK PERTSONAL LABORAL FINKOARI,97604.72,97604.72,16355.6,81249.12,16355.6,16355.6,16355.6,16355.6
1 0400.131.01.153.40 2024,,LABORAL EBENTUALA,448594.46,448594.46,118176.41,330418.05,118176.41,118176.41,118176.41,118176.41
1 0400.131.01.164.00 2024,,LABORAL EBENTUALA,93189.68,93189.68,17255.56,75934.12,17255.56,17255.56,17255.56,17255.56
1 0400.131.01.165.00 2024,,LABORAL EBENTUALA,0.0,0.0,8292.96,-8292.96,8292.96,8292.96,8292.96,8292.96
1 0400.131.01.171.00 2024,,LABORAL EBENTUALA,204270.28,204270.28,26458.14,177812.14,26458.14,26458.14,26458.14,26458.14
1 0400.131.01.323.00 2024,,LABORAL EBENTUALA,0.0,0.0,22299.06,-22299.06,22299.06,22299.06,22299.06,22299.06
1 0400.131.01.920.40 2024,,LABORAL EBENTUALA,0.0,0.0,34331.26,-34331.26,34331.26,34331.26,34331.26,34331.26
1 0400.160.01.153.40 2024,,GIZARTE SEGURANTZA,477585.78,477585.78,69772.03,407813.75,69772.03,69772.03,69772.03,69772.03
1 0400.160.01.164.00 2024,,GIZARTE SEGURANTZA,35429.04,35429.04,2380.72,33048.32,2380.72,2380.72,2380.72,2380.72
1 0400.160.01.165.00 2024,,GIZARTE SEGURANTZA,64001.07,64001.07,9464.35,54536.72,9464.35,9464.35,9464.35,9464.35
1 0400.160.01.171.00 2024,,GIZARTE SEGURANTZA,83035.56,83035.56,14454.12,68581.44,14454.12,14454.12,14454.12,14454.12
1 0400.160.01.323.00 2024,,GIZARTE SEGURANTZA,55698.14,55698.14,10900.4,44797.74,10900.4,10900.4,10900.4,10900.4
1 0400.160.01.920.40 2024,,GIZARTE SEGURANTZA,30641.47,30641.47,16198.19,14443.28,16198.19,16198.19,16198.19,16198.19
1 0400.160.04.153.40 2024,,ELKARKIDETZAREN KUOTAK,18953.69,18953.69,3953.27,15000.42,3953.27,3953.27,3953.27,3953.27
